Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,Debt_To_Income_Ratio
337370.0,0,1,1146004.0,7.993557422969188,3,3,14802.33,21.0,9.0,0.0,256139.0,423104.0,0.0,0.0,0.15499767889117316
765688.0,0,1,5951484.0,3.0,3,13,61498.63,22.4,13.0,0.0,549100.0,1464980.0,0.0,0.0,0.12399992338045435
468908.0,0,0,1833842.0,8.0,3,11,5898.93,14.4,19.0,1.0,183863.0,809490.0,1.0,0.0,0.038600468306429894
219428.0,1,1,1301671.0,7.993557422969188,3,3,22237.03,15.6,9.0,0.0,458679.0,624096.0,0.0,0.0,0.20500138667912243
574904.0,1,1,1306592.0,9.0,3,11,8078.99,14.0,4.0,0.0,1596.0,306196.0,0.0,0.0,0.07419904606793858
401192.0,1,1,1539912.0,15.0,3,3,27500.41,22.0,18.0,0.0,423092.0,769054.0,0.0,0.0,0.21430115487118745
257444.0,1,1,648508.0,15.0,3,3,5944.53,17.5,10.0,0.0,204516.0,621566.0,0.0,0.0,0.10999765615844367
309694.0,0,1,1369106.0397805213,15.0,2,3,23473.17,26.0,10.0,0.0,402059.0,650188.0,0.0,0.0,0.20573865852286738
214258.0,1,1,1369106.0397805213,7.993557422969188,3,3,7207.46,12.8,10.0,1.0,209361.0,338580.0,0.0,0.0,0.06317225801871779
325754.0,1,1,1369106.0397805213,4.0,1,3,14301.3,25.0,11.0,0.0,165186.0,466532.0,0.0,0.0,0.1253486545333708
651354.0,1,1,1369106.0397805213,15.0,1,5,32314.25,19.1,21.0,0.0,356687.0,1868768.0,0.0,0.0,0.283229339972938
262108.0,1,1,855342.0,7.0,3,3,9194.86,22.8,5.0,0.0,110884.0,224840.0,0.0,0.0,0.12899906703985073
310376.0,1,1,1369106.0397805213,2.0,3,3,5101.12,8.5,10.0,0.0,126179.0,241890.0,0.0,0.0,0.04471051782797847
429616.0,1,1,1369106.0397805213,15.0,1,3,21998.58,22.3,12.0,0.0,321898.0,847066.0,0.0,0.0,0.1928141081331572
414744.0,1,1,1164225.0,15.0,3,3,14746.66,10.5,17.0,0.0,258172.0,797170.0,0.0,0.0,0.15199804161566707
654126.0,0,0,2504504.0,9.0,1,11,14818.48,31.9,7.0,0.0,130264.0,187594.0,0.0,0.0,0.0710007889785762
539990.0,0,1,1790807.0,2.0,1,3,24026.64,17.3,13.0,1.0,81358.0,382910.0,1.0,0.0,0.16099986207335576
531476.0,1,1,1369106.0397805213,15.0,1,3,30122.6,26.4,26.0,0.0,658559.0,3272720.0,0.0,0.0,0.26401987099402957
316426.0,0,1,683183.0,7.993557422969188,3,3,16453.24,15.0,10.0,0.0,136952.0,554488.0,0.0,0.0,0.28899852601718723
473902.0,0,1,1042511.0,5.0,1,3,22240.45,14.0,7.0,0.0,232655.0,386496.0,0.0,0.0,0.2560024786309209
223344.0,1,1,1195898.0,15.0,3,3,11759.86,17.6,7.0,0.0,94677.0,167618.0,0.0,0.0,0.11800197006768136
766238.0,0,0,1796165.0,0.5,3,3,36821.24,33.1,10.0,0.0,510093.0,925760.0,0.0,0.0,0.24599904797165068
471152.0,0,1,1017279.0,0.5,3,3,14496.24,8.5,7.0,0.0,115444.0,218064.0,0.0,0.0,0.17100016809547824
563486.0,1,2,2647308.0,2.0,3,3,45666.12,16.8,26.0,0.0,137256.0,2337082.0,0.0,0.0,0.20700025837567826
219824.0,0,1,2088328.0,0.5,1,3,22275.41,21.7,13.0,1.0,155800.0,451044.0,1.0,0.0,0.12799949050149212
304986.0,0,1,4872778.0,3.0,3,3,30130.01,21.9,13.0,0.0,155078.0,1081740.0,0.0,0.0,0.07419999844031475
105666.0,0,2,806170.0,4.0,1,3,15135.78,15.9,10.0,0.0,226708.0,653026.0,0.0,0.0,0.225299080839029
346412.0,1,1,1369106.0397805213,9.0,1,3,7824.39,14.8,10.0,0.0,333678.0,482966.0,0.0,0.0,0.06857955284095581
253506.0,0,1,1403492.0,4.0,3,3,30525.78,26.7,19.0,0.0,16492.0,149138.0,0.0,0.0,0.26099853793252825
170126.0,1,1,1137492.0,3.0,3,11,3564.21,12.5,5.0,0.0,70205.0,109692.0,0.0,0.0,0.03760072158749248
134398.0,1,2,2205425.0,15.0,2,6,38447.83,33.5,15.0,0.0,668629.0,1084314.0,0.0,0.0,0.20919956924402328
442948.0,0,1,956365.0,2.0,3,3,26618.81,8.0,17.0,0.0,384351.0,1101562.0,0.0,0.0,0.33399980133108176
142868.0,1,2,2429815.0,15.0,3,3,14781.43,31.0,15.0,0.0,189449.0,507782.0,0.0,0.0,0.07300027368338742
332508.0,1,1,926345.0,4.0,1,3,13895.27,19.6,9.0,0.0,356554.0,571010.0,0.0,0.0,0.18000123064301096
235950.0,1,1,1164396.0,7.0,2,3,13390.63,15.7,7.0,0.0,168074.0,321156.0,0.0,0.0,0.13800078323869197
290708.0,1,2,1487776.0,15.0,3,3,10067.15,17.1,9.0,0.0,387277.0,1047706.0,0.0,0.0,0.08119891704127503
153714.0,1,2,995714.0,15.0,1,3,13939.92,21.7,8.0,0.0,218614.0,371184.0,0.0,0.0,0.16799908407434264
69366.0,1,1,1273133.0,3.0,3,3,28433.5,20.5,11.0,0.0,84930.0,339086.0,0.0,0.0,0.2680018505529273
108878.0,1,2,1316434.0,15.0,1,3,4377.22,37.5,18.0,0.0,354920.0,2151556.0,0.0,0.0,0.03990070144040643
288068.0,0,1,948062.0,2.0,3,3,22121.32,14.5,13.0,0.0,358359.0,527912.0,0.0,0.0,0.2799983967293278
447436.0,0,1,1159266.0,15.0,1,3,20287.25,43.4,17.0,0.0,448514.0,1022318.0,0.0,0.0,0.21000098338086343
401192.0,1,1,1116440.0,4.0,3,3,14792.83,13.5,9.0,0.0,431414.0,731368.0,0.0,0.0,0.159
165440.0,1,1,1369106.0397805213,3.0,1,3,8257.21,12.2,7.0,0.0,54986.0,117260.0,0.0,0.0,0.07237315234975104
168124.0,1,1,967955.0,7.993557422969188,3,11,14519.42,14.5,18.0,0.0,143697.0,311608.0,0.0,0.0,0.18000117774070074
306460.0,0,0,3503106.0,7.0,3,0,7590.12,10.2,9.0,0.0,133817.0,303226.0,0.0,0.0,0.0260001952552963
657162.0,1,2,3783660.0,3.0,1,3,25508.07,15.2,14.0,0.0,579937.0,948464.0,0.0,0.0,0.08089966857487195
314072.0,1,2,627722.0,15.0,3,3,9959.99,29.2,11.0,0.0,211242.0,1881462.0,0.0,0.0,0.19040256674132816
763686.0,0,2,2581663.0,3.0,3,3,46469.82,25.6,15.0,0.0,1137036.0,3033580.0,0.0,0.0,0.21599947010899562
526900.0,0,0,1516808.0,15.0,3,3,22246.53,23.0,7.0,0.0,196992.0,254584.0,0.0,0.0,0.17600010021044193
330132.0,1,2,1520608.0,8.0,3,3,17613.76,17.0,15.0,0.0,133133.0,213510.0,0.0,0.0,0.13900039984006396
774928.0,1,1,1369106.0397805213,0.5,1,3,50060.44,15.9,11.0,0.0,721715.0,1069992.0,0.0,0.0,0.4387719157942661
531124.0,0,1,1369106.0397805213,0.5,1,3,30020.95,19.0,22.0,1.0,563293.0,949388.0,1.0,0.0,0.26312892466514226
292072.0,1,1,1369106.0397805213,4.0,1,3,15030.33,9.8,10.0,0.0,304133.0,525602.0,0.0,0.0,0.13173848829774631
107668.0,1,2,1394790.0,4.0,1,3,29290.59,18.2,10.0,0.0,160474.0,529386.0,0.0,0.0,0.252
268906.0,1,1,909606.0,0.5,3,3,16145.63,18.0,11.0,0.0,589285.0,1201288.0,0.0,0.0,0.2130016292768517
62172.0,1,1,1369106.0397805213,0.5,3,3,3239.69,5.8,11.0,0.0,97774.0,193182.0,0.0,0.0,0.028395375427773425
156398.0,1,1,1234962.0,15.0,1,11,26757.7,19.5,21.0,0.0,466108.0,958606.0,0.0,0.0,0.26000184621065264
44198.0,0,1,839838.0,15.0,1,11,15047.24,17.5,7.0,1.0,127699.0,176858.0,1.0,0.0,0.2150020361069635
765314.0,0,1,1888410.0,5.0,1,5,10543.48,16.5,11.0,0.0,97869.0,602822.0,0.0,0.0,0.06699909447630546
232364.0,1,2,580260.0,5.0,1,3,4506.61,22.3,5.0,0.0,79363.0,685740.0,0.0,0.0,0.0931984282907662
141724.0,1,1,847400.0,5.0,3,3,14405.61,13.8,8.0,0.0,80750.0,102520.0,0.0,0.0,0.20399730941704036
180356.0,1,1,1369106.0397805213,15.0,1,3,10221.43,25.1,7.0,1.0,85424.0,202708.0,1.0,0.0,0.08958923300028895
111408.0,1,1,1346891.0,3.0,3,3,19529.91,10.6,13.0,0.0,170221.0,227348.0,0.0,0.0,0.17399991536063422
161854.0,1,1,660079.0,2.0,1,11,7810.9,17.9,9.0,0.0,231401.0,380050.0,0.0,0.0,0.14199936674246566
145046.0,1,1,832428.0,3.0,3,3,15677.28,13.2,6.0,1.0,30552.0,123288.0,1.0,0.0,0.22599835661462614
272976.0,0,1,1369106.0397805213,0.5,1,1,9332.23,12.8,18.0,0.0,209171.0,552970.0,0.0,0.0,0.08179553427282549
61358.0,1,2,454214.0,2.0,3,7,1059.82,13.3,3.0,0.0,3553.0,32428.0,0.0,0.0,0.027999665355977577
152196.0,1,1,1369106.0397805213,3.0,3,11,7908.56,18.0,10.0,0.0,117439.0,358776.0,0.0,0.0,0.06931728970767938
313676.0,0,1,1369106.0397805213,15.0,1,3,7376.37,17.3,14.0,1.0,186257.0,346720.0,1.0,0.0,0.06465272771288766
293436.0,1,1,1357531.0,15.0,3,3,21946.9,26.2,7.0,0.0,763857.0,1188792.0,0.0,0.0,0.19400131562373163
773696.0,0,1,2959136.0,8.0,1,3,47099.48,17.0,9.0,0.0,786942.0,1143274.0,0.0,0.0,0.19099958906924186
129844.0,1,1,1214746.0,8.0,1,3,19840.94,21.2,11.0,0.0,175427.0,448404.0,0.0,0.0,0.19600087590327522
211156.0,0,1,1177848.0,5.0,1,5,14173.24,18.7,7.0,0.0,276754.0,494538.0,0.0,0.0,0.14439798683701122
224202.0,1,1,619609.0,2.0,3,3,17504.13,7.6,14.0,0.0,107730.0,188452.0,0.0,0.0,0.3390034037594677
150942.0,1,1,1369106.0397805213,4.0,1,3,5122.02,6.6,8.0,0.0,93176.0,567842.0,0.0,0.0,0.044893703054478686
442706.0,0,0,1593036.0,15.0,1,3,29736.71,30.4,19.0,0.0,473214.0,740432.0,0.0,0.0,0.22400028624588522
403700.0,0,1,1458136.0,5.0,3,3,6938.23,21.0,8.0,1.0,363375.0,627990.0,1.0,0.0,0.05709944751381214
217756.0,0,1,752248.0,5.0,3,3,10324.6,13.8,10.0,0.0,95456.0,311366.0,0.0,0.0,0.16469993938169328
404734.0,0,0,1209977.0,7.993557422969188,1,3,30451.11,20.8,24.0,0.0,600096.0,1030942.0,0.0,0.0,0.3020002198388895
260744.0,0,1,2683579.0,3.0,1,3,31308.39,37.3,14.0,1.0,109003.0,167376.0,1.0,0.0,0.1399998583980572
490226.0,0,0,1896390.0,15.0,1,3,19912.19,14.0,7.0,0.0,75487.0,195558.0,0.0,0.0,0.1260006011421701
328614.0,1,1,794656.0,7.0,1,11,12714.42,20.0,13.0,0.0,419710.0,880396.0,0.0,0.0,0.19199885233358838
54736.0,1,1,1550362.0,15.0,1,11,29844.63,18.0,12.0,0.0,772806.0,963204.0,0.0,0.0,0.23100125003063798
71962.0,1,2,310783.0,0.5,3,3,388.55,30.4,7.0,1.0,30438.0,244750.0,1.0,0.0,0.015002751115730267
180026.0,1,1,1369106.0397805213,2.0,3,3,13863.73,8.7,11.0,0.0,210615.0,258874.0,0.0,0.0,0.12151342201855278
324632.0,1,1,1369106.0397805213,5.0,3,3,16335.25,19.5,10.0,0.0,257925.0,449768.0,0.0,0.0,0.14317590771232305
120736.0,1,1,1137606.0,0.5,3,2,6598.13,16.3,14.0,0.0,144704.0,504680.0,0.0,0.0,0.06960016033670709
259908.0,1,1,1369106.0397805213,7.993557422969188,1,3,16203.58,16.1,7.0,0.0,110580.0,158092.0,0.0,0.0,0.14202184078537172
539836.0,0,1,1995399.0,15.0,3,3,31261.08,24.5,9.0,0.0,300694.0,399278.0,0.0,0.0,0.18799897163424462
518804.0,1,1,1369106.0397805213,3.0,1,3,26183.9,22.1,15.0,0.0,386612.0,1695628.0,0.0,0.0,0.22949778239994462
468754.0,1,2,1773517.0,15.0,1,3,36061.62,31.4,8.0,2.0,692949.0,1582548.0,0.0,2.0,0.24400072849597723
430628.0,1,1,1369106.0397805213,3.0,1,3,11365.8,15.4,7.0,0.0,338428.0,876678.0,0.0,0.0,0.09961945681129589
213004.0,0,1,1316814.0,15.0,1,6,13870.38,22.1,14.0,0.0,160341.0,1355156.0,0.0,0.0,0.12639944593541683
235026.0,0,1,966530.0,9.0,1,3,15142.24,10.3,10.0,0.0,52934.0,255332.0,0.0,0.0,0.18799921368193434
517484.0,1,2,1955309.0,15.0,1,3,22160.08,19.2,20.0,0.0,291099.0,1353660.0,0.0,0.0,0.13599945584048354
240548.0,0,1,1556974.0,6.0,1,3,33345.0,26.0,32.0,1.0,294614.0,1176274.0,0.0,0.0,0.2569985112147024
781946.0,0,0,1736505.0,15.0,1,3,29810.05,30.1,8.0,0.0,64619.0,82676.0,0.0,0.0,0.20600032824552764
761684.0,1,2,1597558.0,15.0,1,3,23696.99,25.0,16.0,0.0,607107.0,2440878.0,0.0,0.0,0.17799909612045386
126346.0,1,1,858458.0,8.0,3,3,9586.07,14.8,5.0,0.0,78546.0,117656.0,0.0,0.0,0.13399938028418396
248094.0,1,1,557745.0,0.5,3,3,8319.72,16.1,7.0,0.0,211679.0,441628.0,0.0,0.0,0.17900051098620334
220858.0,1,1,1369106.0397805213,7.0,1,3,12974.34,21.8,11.0,0.0,25365.0,114730.0,0.0,0.0,0.1137180579708484
335082.0,1,1,1369106.0397805213,7.0,3,3,12290.91,10.9,9.0,0.0,137750.0,301510.0,0.0,0.0,0.10772790106429155
210892.0,1,2,739898.0,0.5,3,7,7645.6,10.5,10.0,0.0,74765.0,250206.0,0.0,0.0,0.12399979456627808
443916.0,1,1,2396147.0,2.0,3,3,36541.18,15.7,16.0,0.0,539961.0,897006.0,0.0,0.0,0.18299969075353056
390170.0,1,1,1369106.0397805213,15.0,1,3,3279.4,27.7,9.0,0.0,105412.0,266508.0,0.0,0.0,0.028743427358123824
436700.0,1,1,1369106.0397805213,15.0,3,3,12584.27,18.0,4.0,0.0,489744.0,851466.0,0.0,0.0,0.11029915551625813
756448.0,1,2,1530583.0,4.0,1,3,21683.18,22.1,7.0,0.0,861156.0,1140876.0,0.0,0.0,0.16999937932147424
178310.0,1,1,1308929.0,5.0,3,3,20288.39,14.8,11.0,0.0,231344.0,401038.0,0.0,0.0,0.18599991290589482
268884.0,0,1,1369106.0397805213,5.0,1,3,35680.86,21.7,14.0,1.0,1136485.0,1638780.0,1.0,0.0,0.31273714932163993
310244.0,1,2,1456217.0,3.0,3,3,20022.77,14.7,7.0,0.0,154261.0,472538.0,0.0,0.0,0.16499823858669416
661892.0,1,2,1849023.0,2.0,1,3,27735.25,11.8,15.0,0.0,201134.0,684992.0,0.0,0.0,0.17999938345818306
225522.0,1,2,1685547.0,15.0,1,3,18681.56,13.6,7.0,0.0,101973.0,219076.0,0.0,0.0,0.1330005748875588
229944.0,1,1,584934.0,7.993557422969188,2,5,872.48,16.2,10.0,0.0,76304.0,552222.0,0.0,0.0,0.017899045020463848
72424.0,1,1,786695.0,8.0,1,3,7604.75,17.5,16.0,0.0,166136.0,307296.0,0.0,0.0,0.11600048303345006
537922.0,1,2,2032506.0,8.0,1,3,27608.14,18.2,10.0,0.0,1172718.0,1398430.0,0.0,0.0,0.16299960738123281
359700.0,1,1,1941610.0,15.0,1,5,26697.09,22.2,9.0,0.0,539030.0,762058.0,0.0,0.0,0.16499970642920053
320584.0,0,0,894349.0,7.993557422969188,1,3,21091.52,13.8,9.0,0.0,34238.0,72732.0,0.0,0.0,0.28299717448110306
620796.0,0,1,2393525.0,2.0,3,3,21142.82,18.3,10.0,0.0,132544.0,534732.0,0.0,0.0,0.10600007938082953
257642.0,1,2,3152157.0,2.0,3,3,11163.83,20.6,15.0,0.0,284278.0,901802.0,0.0,0.0,0.04249977396430444
87208.0,1,1,1977254.0,15.0,1,11,45311.77,22.6,13.0,0.0,316160.0,416460.0,0.0,0.0,0.27499817423558126
44330.0,1,1,765700.0,15.0,1,11,10336.95,21.7,4.0,0.0,38722.0,53196.0,0.0,0.0,0.16200000000000003
123156.0,1,1,1063715.0,0.5,2,11,7694.05,13.6,6.0,0.0,114.0,67188.0,0.0,0.0,0.0867982495311244
782254.0,0,0,3223445.0,15.0,3,0,24740.09,15.1,10.0,1.0,44327.0,255310.0,1.0,0.0,0.0921005570127612
21670.0,1,1,805068.0,15.0,3,5,7782.4,17.4,21.0,0.0,87799.0,612370.0,0.0,0.0,0.11600113282356272
270028.0,1,1,1369106.0397805213,3.0,1,3,17509.26,21.5,10.0,0.0,227335.0,427306.0,0.0,0.0,0.1534659214809121
393228.0,1,1,1320690.0,4.0,3,3,25643.54,15.3,14.0,0.0,146338.0,382470.0,0.0,0.0,0.23300129477772985
125422.0,1,1,928511.0,7.0,1,3,14546.59,15.9,17.0,0.0,73549.0,197120.0,0.0,0.0,0.18799893593075365
389224.0,1,1,1369106.0397805213,5.0,3,3,17268.34,12.1,6.0,0.0,339226.0,458348.0,0.0,0.0,0.15135429541543693
431640.0,1,1,2329875.0,4.0,1,5,21551.32,22.6,12.0,0.0,238621.0,325820.0,0.0,0.0,0.11099987767584099
75064.0,1,1,375858.0,3.0,3,3,9333.94,11.7,2.0,0.0,19950.0,54384.0,0.0,0.0,0.29800424628450106
80938.0,0,1,431034.0,7.993557422969188,3,7,7708.3,11.4,6.0,0.0,89547.0,148324.0,0.0,0.0,0.21459931235122984
298298.0,0,1,1217843.0,15.0,1,3,11467.83,13.4,7.0,0.0,75316.0,192940.0,0.0,0.0,0.1129981122361421
295966.0,0,1,1369106.0397805213,5.0,3,3,15682.22,18.6,8.0,0.0,62814.0,246576.0,0.0,0.0,0.13745220204431194
108064.0,1,1,597303.0,3.0,3,3,5475.23,12.8,15.0,1.0,32110.0,97328.0,0.0,1.0,0.10999904571046853
256982.0,1,1,1369106.0397805213,8.0,1,3,15095.88,19.8,11.0,0.0,338732.0,1431430.0,0.0,0.0,0.1323130237808606
216722.0,1,1,580222.0,7.993557422969188,3,3,14070.45,19.1,11.0,0.0,56544.0,382888.0,0.0,0.0,0.2910013753356474
427790.0,0,1,1369106.0397805213,7.993557422969188,2,3,17395.26,26.5,22.0,0.0,2660095.0,11536008.0,0.0,0.0,0.1524667293363655
354860.0,1,1,1436552.0,15.0,1,3,36512.11,16.3,19.0,0.0,2092280.0,4017640.0,0.0,0.0,0.3049978838218178
354882.0,1,1,948214.0,6.0,1,3,18727.35,8.5,9.0,0.0,0.0,0.0,0.0,0.0,0.23700156293832403
475244.0,1,1,1772339.0,8.0,1,3,34412.61,19.2,22.0,0.0,537852.0,777524.0,0.0,0.0,0.23299793098272958
140976.0,1,1,1311114.0,4.0,3,3,12674.14,8.4,12.0,0.0,150936.0,232078.0,0.0,0.0,0.11600034779584384
110924.0,1,1,728061.0,15.0,3,6,4538.34,28.9,9.0,1.0,97071.0,226138.0,1.0,0.0,0.07480153448680811
112222.0,1,1,1259947.0,15.0,1,3,24988.99,15.4,19.0,0.0,725135.0,1367476.0,0.0,0.0,0.23800039207998433
179300.0,1,1,1025924.0,15.0,3,11,7395.18,17.9,10.0,0.0,177004.0,513656.0,0.0,0.0,0.08649974072153493
270160.0,1,1,1555416.0,2.0,3,3,12598.9,21.2,5.0,0.0,239229.0,352418.0,0.0,0.0,0.09720023453532689
340186.0,0,0,1700424.0,15.0,1,5,20688.53,31.5,9.0,0.0,193971.0,271260.0,0.0,0.0,0.14600026816840977
238656.0,1,1,993111.0,9.0,3,11,8226.24,15.4,4.0,0.0,220457.0,312818.0,0.0,0.0,0.09939964414853929
222530.0,1,1,768740.0,0.5,2,11,17168.4,14.4,19.0,0.0,406885.0,651662.0,0.0,0.0,0.26799802273850715
162184.0,1,1,465006.0,3.0,3,3,3754.97,10.3,4.0,0.0,130188.0,268224.0,0.0,0.0,0.09690120127482224
533544.0,1,1,1369106.0397805213,15.0,1,3,29070.57,22.4,8.0,0.0,457881.0,1084226.0,0.0,0.0,0.2547989928201054
228778.0,1,2,676305.0,15.0,3,3,10764.45,12.5,10.0,0.0,285570.0,387200.0,0.0,0.0,0.19099873577749685
300916.0,1,1,1386050.0,6.0,3,3,22638.88,17.0,9.0,0.0,255417.0,332310.0,0.0,0.0,0.19600054832076763
235972.0,0,1,1369106.0397805213,6.0,3,3,22058.05,14.7,6.0,0.0,322981.0,408276.0,0.0,0.0,0.19333535336856228
328262.0,1,2,2097828.0,3.0,1,3,23076.07,23.0,9.0,1.0,323912.0,713042.0,0.0,0.0,0.13199978263232257
523248.0,1,0,1788983.0,0.5,3,3,13536.55,15.5,17.0,0.0,165528.0,426888.0,0.0,0.0,0.0907994094969041
245938.0,1,1,1024043.0,15.0,3,3,17152.82,14.9,8.0,0.0,254391.0,388586.0,0.0,0.0,0.201001168896228
525932.0,1,1,1684407.0,15.0,1,3,12225.93,14.7,7.0,0.0,331569.0,467060.0,0.0,0.0,0.08709959053839125
448228.0,1,2,1354871.0,15.0,1,3,6153.53,16.9,8.0,0.0,54169.0,285142.0,0.0,0.0,0.05450139533579211
347710.0,1,1,1369106.0397805213,15.0,1,3,21771.15,19.2,7.0,0.0,24377.0,239228.0,0.0,0.0,0.1908207198047867
182116.0,1,1,1369106.0397805213,7.993557422969188,3,3,26269.02,29.3,26.0,1.0,410362.0,1044318.0,1.0,0.0,0.23024384586787278
220682.0,1,1,2858835.0,6.0,3,11,22799.24,12.5,9.0,0.0,339815.0,496826.0,0.0,0.0,0.09570012959824545
448756.0,1,1,1162686.0,3.0,3,3,25772.93,9.7,11.0,0.0,401375.0,511852.0,0.0,0.0,0.2660005882929699
186912.0,1,2,484747.0,5.0,3,3,8886.87,10.2,10.0,0.0,285323.0,671484.0,0.0,0.0,0.21999608042958493
221518.0,1,1,1243531.0,9.0,1,3,24559.59,9.5,13.0,0.0,356231.0,440682.0,0.0,0.0,0.2369985790462803
395648.0,1,1,1369106.0397805213,5.0,3,3,35830.2,15.5,10.0,0.0,165281.0,285648.0,0.0,0.0,0.31404609103099596
527054.0,0,2,2465554.0,8.0,3,3,20135.44,26.0,10.0,0.0,453150.0,1097690.0,0.0,0.0,0.09800040072129831
458964.0,0,1,1581731.0,15.0,1,11,28339.26,23.7,13.0,0.0,2203791.0,5406258.0,0.0,0.0,0.2149993393314034
79178.0,1,1,382508.0,2.0,1,3,6215.85,5.9,10.0,0.0,59166.0,110682.0,0.0,0.0,0.1950029803298232
220594.0,0,2,609634.0,7.993557422969188,1,3,6401.29,27.7,20.0,0.0,373692.0,1456884.0,0.0,0.0,0.12600261796422113
218350.0,1,1,1470429.0,7.993557422969188,3,3,30388.79,11.8,18.0,1.0,343938.0,502216.0,1.0,0.0,0.2479993797728418
351538.0,1,1,1214423.0,0.5,1,3,27931.71,20.2,15.0,0.0,472283.0,654896.0,0.0,0.0,0.27599981225652015
